"","INVENTORY_ID","PLOT_ID","TREE_ID","specie","dbh_1","dbh_2","dbh","height","expan","basal_area"
"99745","IFN2","8_1811_IFN2","8_1811_1_IFN2",25,104,102,10.3,4.5,127.323954473516,83.3228911548353
"99746","IFN2","8_1811_IFN2","8_1811_2_IFN2",25,130,127,12.85,6.5,31.8309886183791,129.686908235595
"99747","IFN2","8_1811_IFN2","8_1811_3_IFN2",25,133,134,13.35,6,31.8309886183791,139.975624176102
"99748","IFN2","8_1811_IFN2","8_1811_4_IFN2",25,90,94,9.2,4.5,127.323954473516,66.47610054996
"99749","IFN2","8_1811_IFN2","8_1811_5_IFN2",25,145,141,14.3,8,31.8309886183791,160.606070433144
"99750","IFN2","8_1811_IFN2","8_1811_6_IFN2",25,134,144,13.9,7,31.8309886183791,151.746779150021
"99751","IFN2","8_1811_IFN2","8_1811_7_IFN2",25,125,127,12.6,8,31.8309886183791,124.689812420979
"99752","IFN2","8_1811_IFN2","8_1811_8_IFN2",25,132,141,13.65,8,31.8309886183791,146.337349299621
"99753","IFN2","8_1811_IFN2","8_1811_9_IFN2",25,140,144,14.2,8,31.8309886183791,158.367685667461
"99754","IFN2","8_1811_IFN2","8_1811_10_IFN2",25,130,130,13,7.5,31.8309886183791,132.732289614169
"99755","IFN2","8_1811_IFN2","8_1811_11_IFN2",24,110,100,10.5,3.5,127.323954473516,86.5901475145687
"334608","IFN2","17_2662_IFN2","17_2662_1_IFN2",25,169,165,16.7,8,31.8309886183791,219.039693789914
"334609","IFN2","17_2662_IFN2","17_2662_2_IFN2",25,155,160,15.75,7.5,31.8309886183791,194.82783190778
"334610","IFN2","17_2662_IFN2","17_2662_3_IFN2",25,117,112,11.45,7.5,127.323954473516,102.967662716814
"334611","IFN2","17_2662_IFN2","17_2662_4_IFN2",25,126,128,12.7,6.5,31.8309886183791,126.676869774374
"334612","IFN2","17_2662_IFN2","17_2662_5_IFN2",23,289,278,28.35,9.5,14.1471060526129,631.242175381206
"334613","IFN2","17_2662_IFN2","17_2662_6_IFN2",25,82,80,8.1,5,127.323954473516,51.5299735005066
"334614","IFN2","17_2662_IFN2","17_2662_7_IFN2",25,126,127,12.65,5.5,31.8309886183791,125.681377602268
"334615","IFN2","17_2662_IFN2","17_2662_8_IFN2",23,244,246,24.5,9,14.1471060526129,471.435247579318
"334616","IFN2","17_2662_IFN2","17_2662_9_IFN2",25,165,161,16.3,9.5,31.8309886183791,208.672438033068
"334617","IFN2","17_2662_IFN2","17_2662_10_IFN2",25,134,138,13.6,7.5,31.8309886183791,145.267244301992
"334618","IFN2","17_2662_IFN2","17_2662_11_IFN2",23,201,203,20.2,7,31.8309886183791,320.473866592695
"334619","IFN2","17_2662_IFN2","17_2662_12_IFN2",23,256,257,25.65,9,14.1471060526129,516.731123157858
"334620","IFN2","17_2662_IFN2","17_2662_13_IFN2",25,128,123,12.55,7.5,31.8309886183791,123.702174230507
"334621","IFN2","17_2662_IFN2","17_2662_14_IFN2",23,214,223,21.85,8,31.8309886183791,374.966754664618
"334622","IFN2","17_2662_IFN2","17_2662_15_IFN2",25,185,188,18.65,10.5,31.8309886183791,273.179152688309
"334623","IFN2","17_2662_IFN2","17_2662_16_IFN2",25,133,134,13.35,10.5,31.8309886183791,139.975624176102
"334624","IFN2","17_2662_IFN2","17_2662_17_IFN2",23,244,241,24.25,9.5,14.1471060526129,461.863207462912
"334625","IFN2","17_2662_IFN2","17_2662_18_IFN2",25,215,217,21.6,10.5,31.8309886183791,366.435367114714
"334626","IFN2","17_2662_IFN2","17_2662_19_IFN2",25,169,171,17,9,31.8309886183791,226.980069221863
"334627","IFN2","17_2662_IFN2","17_2662_20_IFN2",25,211,207,20.9,9,31.8309886183791,343.069771753639
"334628","IFN2","17_2662_IFN2","17_2662_21_IFN2",25,162,158,16,8.5,31.8309886183791,201.061929829747
"334629","IFN2","17_2662_IFN2","17_2662_22_IFN2",25,104,107,10.55,8,127.323954473516,87.4167790815445
"334630","IFN2","17_2662_IFN2","17_2662_23_IFN2",25,129,130,12.95,9,31.8309886183791,131.713235497161
"334631","IFN2","17_2662_IFN2","17_2662_24_IFN2",25,187,189,18.8,10,31.8309886183791,277.591126871194
"334632","IFN2","17_2662_IFN2","17_2662_25_IFN2",25,147,148,14.75,9,31.8309886183791,170.873187924157
"487800","IFN2","25_1263_IFN2","25_1263_1_IFN2",25,395,423,40.9,7.5,14.1471060526129,1313.82190171289
"487801","IFN2","25_1263_IFN2","25_1263_2_IFN2",21,159,164,16.15,6.5,31.8309886183791,204.849512472731
"487802","IFN2","25_1263_IFN2","25_1263_3_IFN2",21,120,110,11.5,7,127.323954473516,103.868907109313
"487803","IFN2","25_1263_IFN2","25_1263_4_IFN2",21,189,179,18.4,7.5,31.8309886183791,265.90440219984
"487804","IFN2","25_1263_IFN2","25_1263_5_IFN2",21,141,134,13.75,9.5,31.8309886183791,148.48934026733
"487805","IFN2","25_1263_IFN2","25_1263_6_IFN2",21,262,247,25.45,10.5,14.1471060526129,508.704353927936
"487806","IFN2","25_1263_IFN2","25_1263_7_IFN2",21,177,141,15.9,7.5,31.8309886183791,198.556509688509
"487807","IFN2","25_1263_IFN2","25_1263_8_IFN2",25,230,229,22.95,7.5,14.1471060526129,413.671176156844
"487808","IFN2","25_1263_IFN2","25_1263_9_IFN2",25,383,362,37.25,11,14.1471060526129,1089.78903909917
"487809","IFN2","25_1263_IFN2","25_1263_10_IFN2",21,128,131,12.95,7,31.8309886183791,131.713235497161
"487810","IFN2","25_1263_IFN2","25_1263_11_IFN2",25,374,386,38,10,14.1471060526129,1134.11494794592
"487811","IFN2","25_1263_IFN2","25_1263_12_IFN2",25,103,95,9.9,4.5,127.323954473516,76.9768739945839
"487812","IFN2","25_1263_IFN2","25_1263_13_IFN2",21,141,137,13.9,6,31.8309886183791,151.746779150021
"487813","IFN2","25_1263_IFN2","25_1263_14_IFN2",45,102,109,10.55,5,127.323954473516,87.4167790815445
"487814","IFN2","25_1263_IFN2","25_1263_15_IFN2",25,113,129,12.1,4.5,127.323954473516,114.99014510302
"487815","IFN2","25_1263_IFN2","25_1263_16_IFN2",21,111,117,11.4,1.6,127.323954473516,102.070345315132
"487816","IFN2","25_1263_IFN2","25_1263_17_IFN2",25,115,125,12,5,127.323954473516,113.097335529233
"487817","IFN2","25_1263_IFN2","25_1263_18_IFN2",45,81,79,8,4,127.323954473516,50.2654824574367
"487818","IFN2","25_1263_IFN2","25_1263_19_IFN2",21,149,148,14.85,7,31.8309886183791,173.197966487814
"487819","IFN2","25_1263_IFN2","25_1263_20_IFN2",21,160,148,15.4,8,31.8309886183791,186.265028431339
"487820","IFN2","25_1263_IFN2","25_1263_21_IFN2",45,102,107,10.45,4.5,127.323954473516,85.7674429384098
"487821","IFN2","25_1263_IFN2","25_1263_22_IFN2",21,113,110,11.15,5.5,127.323954473516,97.6426631689793
"487822","IFN2","25_1263_IFN2","25_1263_23_IFN2",25,247,266,25.65,7,14.1471060526129,516.731123157858
"487823","IFN2","25_1263_IFN2","25_1263_24_IFN2",21,144,150,14.7,7.5,31.8309886183791,169.716689128555
"487824","IFN2","25_1263_IFN2","25_1263_25_IFN2",25,261,278,26.95,9.5,14.1471060526129,570.436649570975
"487825","IFN2","25_1263_IFN2","25_1263_26_IFN2",21,201,204,20.25,7,31.8309886183791,322.062334378166
"487981","IFN2","25_1279_IFN2","25_1279_1_IFN2",25,150,160,15.5,9,31.8309886183791,188.691908756237
"487982","IFN2","25_1279_IFN2","25_1279_2_IFN2",21,136,133,13.45,7,31.8309886183791,142.080491254007
"487983","IFN2","25_1279_IFN2","25_1279_3_IFN2",21,146,143,14.45,8.5,31.8309886183791,163.993100012796
"487984","IFN2","25_1279_IFN2","25_1279_4_IFN2",25,164,175,16.95,8.5,31.8309886183791,225.646855839495
"487985","IFN2","25_1279_IFN2","25_1279_5_IFN2",25,131,122,12.65,9,31.8309886183791,125.681377602268
"487986","IFN2","25_1279_IFN2","25_1279_6_IFN2",21,196,189,19.25,9.5,31.8309886183791,291.039106923967
"487987","IFN2","25_1279_IFN2","25_1279_7_IFN2",25,129,122,12.55,8.5,31.8309886183791,123.702174230507
"487988","IFN2","25_1279_IFN2","25_1279_8_IFN2",21,135,136,13.55,8,31.8309886183791,144.20106629518
"487989","IFN2","25_1279_IFN2","25_1279_9_IFN2",25,142,133,13.75,8.5,31.8309886183791,148.48934026733
"487990","IFN2","25_1279_IFN2","25_1279_10_IFN2",21,143,146,14.45,7.5,31.8309886183791,163.993100012796
"487991","IFN2","25_1279_IFN2","25_1279_11_IFN2",21,166,165,16.55,8,31.8309886183791,215.12252044997
"487992","IFN2","25_1279_IFN2","25_1279_12_IFN2",25,150,146,14.8,8,31.8309886183791,172.033613710577
"487993","IFN2","25_1279_IFN2","25_1279_13_IFN2",25,206,193,19.95,10,31.8309886183791,312.590432527593
"487994","IFN2","25_1279_IFN2","25_1279_14_IFN2",25,144,147,14.55,8,31.8309886183791,166.270754686648
"487995","IFN2","25_1279_IFN2","25_1279_15_IFN2",25,135,132,13.35,9,31.8309886183791,139.975624176102
"487996","IFN2","25_1279_IFN2","25_1279_16_IFN2",25,144,145,14.45,9,31.8309886183791,163.993100012796
"487997","IFN2","25_1279_IFN2","25_1279_17_IFN2",21,157,155,15.6,8,31.8309886183791,191.134497044403
"487998","IFN2","25_1279_IFN2","25_1279_18_IFN2",25,140,132,13.6,7.5,31.8309886183791,145.267244301992
"487999","IFN2","25_1279_IFN2","25_1279_19_IFN2",21,173,170,17.15,8,31.8309886183791,231.003271313866
"488000","IFN2","25_1279_IFN2","25_1279_20_IFN2",21,147,153,15,8.5,31.8309886183791,176.714586764426
"488001","IFN2","25_1279_IFN2","25_1279_21_IFN2",21,188,190,18.9,9,31.8309886183791,280.552077947202
"488002","IFN2","25_1279_IFN2","25_1279_22_IFN2",25,203,203,20.3,8.5,31.8309886183791,323.654729154455
"488003","IFN2","25_1279_IFN2","25_1279_23_IFN2",25,170,180,17.5,9,31.8309886183791,240.528187540469
"488004","IFN2","25_1279_IFN2","25_1279_24_IFN2",21,162,164,16.3,7.5,31.8309886183791,208.672438033068
"488005","IFN2","25_1279_IFN2","25_1279_25_IFN2",25,199,204,20.15,9.5,31.8309886183791,318.88932579804
"488006","IFN2","25_1279_IFN2","25_1279_26_IFN2",25,200,199,19.95,9.5,31.8309886183791,312.590432527593
"488007","IFN2","25_1279_IFN2","25_1279_27_IFN2",45,80,81,8.05,4,127.323954473516,50.8957644835631
"488008","IFN2","25_1279_IFN2","25_1279_28_IFN2",25,159,150,15.45,9.5,31.8309886183791,187.476505098379
"488009","IFN2","25_1279_IFN2","25_1279_29_IFN2",25,159,165,16.2,8.5,31.8309886183791,206.119894002026
"488010","IFN2","25_1279_IFN2","25_1279_30_IFN2",25,112,111,11.15,7.5,127.323954473516,97.6426631689793
"498878","IFN2","25_2037_IFN2","25_2037_1_IFN2",25,200,184,19.2,14,31.8309886183791,289.529178954835
"498879","IFN2","25_2037_IFN2","25_2037_2_IFN2",25,209,207,20.8,15,31.8309886183791,339.794661412272
"498880","IFN2","25_2037_IFN2","25_2037_3_IFN2",25,242,238,24,15,14.1471060526129,452.38934211693
"498881","IFN2","25_2037_IFN2","25_2037_4_IFN2",25,262,284,27.3,14,14.1471060526129,585.349397198484
"498882","IFN2","25_2037_IFN2","25_2037_5_IFN2",25,215,205,21,14,31.8309886183791,346.360590058275
"498883","IFN2","25_2037_IFN2","25_2037_6_IFN2",25,241,246,24.35,14.5,14.1471060526129,465.680242537024
"498884","IFN2","25_2037_IFN2","25_2037_7_IFN2",25,149,157,15.3,14,31.8309886183791,183.853856069709
"498885","IFN2","25_2037_IFN2","25_2037_8_IFN2",25,162,174,16.8,7.5,31.8309886183791,221.670777637296
"498886","IFN2","25_2037_IFN2","25_2037_9_IFN2",25,246,243,24.45,14,14.1471060526129,469.512985574403
"498887","IFN2","25_2037_IFN2","25_2037_10_IFN2",25,335,332,33.35,14.5,14.1471060526129,873.537508789319
"498888","IFN2","25_2037_IFN2","25_2037_11_IFN2",25,216,217,21.65,13.5,31.8309886183791,368.13379064306
"498889","IFN2","25_2037_IFN2","25_2037_12_IFN2",25,246,264,25.5,14,14.1471060526129,510.705155749191
"498890","IFN2","25_2037_IFN2","25_2037_13_IFN2",25,199,188,19.35,13.5,31.8309886183791,294.070743834681
"498891","IFN2","25_2037_IFN2","25_2037_14_IFN2",25,218,207,21.25,13.5,31.8309886183791,354.65635815916
"498892","IFN2","25_2037_IFN2","25_2037_15_IFN2",25,214,220,21.7,8,31.8309886183791,369.836141162224
"498893","IFN2","25_2037_IFN2","25_2037_16_IFN2",25,95,91,9.3,9,127.323954473516,67.9290871522453
"498894","IFN2","25_2037_IFN2","25_2037_17_IFN2",25,301,293,29.7,13.5,14.1471060526129,692.791865951255
"498895","IFN2","25_2037_IFN2","25_2037_18_IFN2",25,218,232,22.5,14.5,14.1471060526129,397.607820219958
"498896","IFN2","25_2037_IFN2","25_2037_19_IFN2",25,212,202,20.7,13.5,31.8309886183791,336.535259034173
"498897","IFN2","25_2037_IFN2","25_2037_20_IFN2",25,290,262,27.6,14,14.1471060526129,598.28490494964
"498898","IFN2","25_2037_IFN2","25_2037_21_IFN2",25,196,204,20,13.5,31.8309886183791,314.159265358979
"498899","IFN2","25_2037_IFN2","25_2037_22_IFN2",25,162,159,16.05,13.5,31.8309886183791,202.320530386591
"498900","IFN2","25_2037_IFN2","25_2037_23_IFN2",25,226,242,23.4,13,14.1471060526129,430.052618349907
"498901","IFN2","25_2037_IFN2","25_2037_24_IFN2",25,162,164,16.3,13,31.8309886183791,208.672438033068
"498902","IFN2","25_2037_IFN2","25_2037_25_IFN2",25,276,275,27.55,12,14.1471060526129,596.119169514072
"498903","IFN2","25_2037_IFN2","25_2037_26_IFN2",25,232,224,22.8,13,14.1471060526129,408.28138126053
"498904","IFN2","25_2037_IFN2","25_2037_27_IFN2",25,190,188,18.9,13,31.8309886183791,280.552077947202
"498905","IFN2","25_2037_IFN2","25_2037_28_IFN2",25,202,200,20.1,12,31.8309886183791,317.308711994203
"498906","IFN2","25_2037_IFN2","25_2037_29_IFN2",25,139,133,13.6,8,31.8309886183791,145.267244301992
"498907","IFN2","25_2037_IFN2","25_2037_30_IFN2",25,219,219,21.9,13,31.8309886183791,376.68481314705
"498908","IFN2","25_2037_IFN2","25_2037_31_IFN2",25,182,184,18.3,12,31.8309886183791,263.021990940171
"498909","IFN2","25_2037_IFN2","25_2037_32_IFN2",25,215,211,21.3,12,31.8309886183791,356.327292751788
"498910","IFN2","25_2037_IFN2","25_2037_33_IFN2",25,248,257,25.25,14,14.1471060526129,500.740416551086
"498911","IFN2","25_2037_IFN2","25_2037_34_IFN2",25,156,147,15.15,13.5,31.8309886183791,180.266549958391
"498912","IFN2","25_2037_IFN2","25_2037_35_IFN2",25,272,284,27.8,14.5,14.1471060526129,606.987116600084
"498913","IFN2","25_2037_IFN2","25_2037_36_IFN2",25,222,238,23,15,14.1471060526129,415.47562843725
"498914","IFN2","25_2037_IFN2","25_2037_37_IFN2",25,200,198,19.9,15,31.8309886183791,311.025526687023
"498915","IFN2","25_2037_IFN2","25_2037_38_IFN2",25,199,196,19.75,12.5,31.8309886183791,306.354371110217
"498916","IFN2","25_2037_IFN2","25_2037_39_IFN2",25,211,197,20.4,14.5,31.8309886183791,326.851299679482
"498917","IFN2","25_2037_IFN2","25_2037_40_IFN2",25,220,218,21.9,12.5,31.8309886183791,376.68481314705
"498918","IFN2","25_2037_IFN2","25_2037_41_IFN2",25,86,91,8.85,9.5,127.323954473516,61.5143476526966
"498919","IFN2","25_2037_IFN2","25_2037_42_IFN2",25,230,232,23.1,13.5,14.1471060526129,419.096313970512
"498920","IFN2","25_2037_IFN2","25_2037_43_IFN2",25,199,202,20.05,14,31.8309886183791,315.732025181183
"498921","IFN2","25_2037_IFN2","25_2037_44_IFN2",25,254,228,24.1,14,14.1471060526129,456.167107282872
"498922","IFN2","25_2037_IFN2","25_2037_45_IFN2",25,172,169,17.05,13,31.8309886183791,228.317209595047
"498923","IFN2","25_2037_IFN2","25_2037_46_IFN2",25,315,304,30.95,14,14.1471060526129,752.334864213824
"498924","IFN2","25_2037_IFN2","25_2037_47_IFN2",25,272,282,27.7,14,14.1471060526129,602.628156793228
"498925","IFN2","25_2037_IFN2","25_2037_48_IFN2",25,185,180,18.25,14.5,31.8309886183791,261.586675796563
"498926","IFN2","25_2037_IFN2","25_2037_49_IFN2",25,292,274,28.3,15,14.1471060526129,629.017535083382
"498927","IFN2","25_2037_IFN2","25_2037_50_IFN2",25,250,248,24.9,14,14.1471060526129,486.954715288052
"498928","IFN2","25_2037_IFN2","25_2037_51_IFN2",25,251,244,24.75,13.5,14.1471060526129,481.105462466149
"498929","IFN2","25_2037_IFN2","25_2037_52_IFN2",25,256,224,24,13.5,14.1471060526129,452.38934211693
"498930","IFN2","25_2037_IFN2","25_2037_53_IFN2",25,192,184,18.8,13,31.8309886183791,277.591126871194
"498931","IFN2","25_2037_IFN2","25_2037_54_IFN2",25,224,231,22.75,13,14.1471060526129,406.492636943392
"498932","IFN2","25_2037_IFN2","25_2037_55_IFN2",25,244,239,24.15,13.5,14.1471060526129,458.061880352068
"498933","IFN2","25_2037_IFN2","25_2037_56_IFN2",25,151,145,14.8,12,31.8309886183791,172.033613710577
"498934","IFN2","25_2037_IFN2","25_2037_57_IFN2",25,212,215,21.35,13.5,31.8309886183791,358.002154335233
"498935","IFN2","25_2037_IFN2","25_2037_58_IFN2",25,276,284,28,13.5,14.1471060526129,615.752160103599
"498936","IFN2","25_2037_IFN2","25_2037_59_IFN2",25,297,281,28.9,14,14.1471060526129,655.972400051183
"498937","IFN2","25_2037_IFN2","25_2037_60_IFN2",25,244,259,25.15,13,14.1471060526129,496.782009807562
"498938","IFN2","25_2037_IFN2","25_2037_61_IFN2",25,268,251,25.95,13,14.1471060526129,528.88908672725
"498939","IFN2","25_2037_IFN2","25_2037_62_IFN2",25,160,168,16.4,13.5,31.8309886183791,211.240690027378
"498940","IFN2","25_2037_IFN2","25_2037_63_IFN2",25,219,232,22.55,13.5,14.1471060526129,399.376929583011
"498941","IFN2","25_2037_IFN2","25_2037_64_IFN2",25,135,138,13.65,13.5,31.8309886183791,146.337349299621
"498942","IFN2","25_2037_IFN2","25_2037_65_IFN2",25,267,267,26.7,13.5,14.1471060526129,559.902496704407
"498943","IFN2","25_2037_IFN2","25_2037_66_IFN2",25,294,284,28.9,14,14.1471060526129,655.972400051183
"498944","IFN2","25_2037_IFN2","25_2037_67_IFN2",25,284,282,28.3,14,14.1471060526129,629.017535083382
"508170","IFN2","25_2740_IFN2","25_2740_1_IFN2",25,208,181,19.45,5.5,31.8309886183791,297.118088708663
"508171","IFN2","25_2740_IFN2","25_2740_2_IFN2",25,170,191,18.05,10,31.8309886183791,255.884685130297
"508172","IFN2","25_2740_IFN2","25_2740_3_IFN2",25,199,193,19.6,9,31.8309886183791,301.718558450764
"508173","IFN2","25_2740_IFN2","25_2740_4_IFN2",25,148,143,14.55,4.5,31.8309886183791,166.270754686648
"754485","IFN2","43_96_IFN2","43_96_1_IFN2",25,371,376,37.35,10.5,14.1471060526129,1095.64810939812
"754486","IFN2","43_96_IFN2","43_96_2_IFN2",25,198,191,19.45,10.5,31.8309886183791,297.118088708663
"754487","IFN2","43_96_IFN2","43_96_3_IFN2",25,237,236,23.65,10.5,14.1471060526129,439.290864246869
"754488","IFN2","43_96_IFN2","43_96_4_IFN2",25,317,292,30.45,11,14.1471060526129,728.223140597523
"754489","IFN2","43_96_IFN2","43_96_5_IFN2",25,181,175,17.8,6.5,31.8309886183791,248.845554090848
"754490","IFN2","43_96_IFN2","43_96_6_IFN2",25,134,144,13.9,6.5,31.8309886183791,151.746779150021
"754491","IFN2","43_96_IFN2","43_96_7_IFN2",25,126,128,12.7,8.5,31.8309886183791,126.676869774374
"754492","IFN2","43_96_IFN2","43_96_8_IFN2",25,144,148,14.6,8.5,31.8309886183791,167.4154725098
"754493","IFN2","43_96_IFN2","43_96_9_IFN2",25,171,177,17.4,8.5,31.8309886183791,237.787147950211
"754494","IFN2","43_96_IFN2","43_96_10_IFN2",25,230,254,24.2,11,14.1471060526129,459.960580412082
"754495","IFN2","43_96_IFN2","43_96_11_IFN2",25,211,222,21.65,8,31.8309886183791,368.13379064306
"754496","IFN2","43_96_IFN2","43_96_12_IFN2",25,124,147,13.55,7,31.8309886183791,144.20106629518
"754497","IFN2","43_96_IFN2","43_96_13_IFN2",25,283,295,28.9,9,14.1471060526129,655.972400051183
"754498","IFN2","43_96_IFN2","43_96_14_IFN2",25,236,263,24.95,9,14.1471060526129,488.91232021032
"754499","IFN2","43_96_IFN2","43_96_15_IFN2",24,144,150,14.7,6.5,31.8309886183791,169.716689128555
"754500","IFN2","43_96_IFN2","43_96_16_IFN2",26,321,325,32.3,8.5,14.1471060526129,819.398049890924
"754501","IFN2","43_96_IFN2","43_96_17_IFN2",24,202,194,19.8,5,31.8309886183791,307.907495978336
"766595","IFN2","43_1498_IFN2","43_1498_1_IFN2",25,292,270,28.1,9.5,14.1471060526129,620.158243800259
"766596","IFN2","43_1498_IFN2","43_1498_2_IFN2",25,354,300,32.7,9,14.1471060526129,839.818402139258
"766597","IFN2","43_1498_IFN2","43_1498_3_IFN2",25,249,215,23.2,11.5,14.1471060526129,422.732707467043
"766598","IFN2","43_1498_IFN2","43_1498_4_IFN2",25,494,447,47.05,17,5.09295817894065,1738.63787780834
"766599","IFN2","43_1498_IFN2","43_1498_5_IFN2",25,270,195,23.25,9,14.1471060526129,424.556794701533
"766600","IFN2","43_1498_IFN2","43_1498_6_IFN2",25,260,240,25,8,14.1471060526129,490.873852123405
"766601","IFN2","43_1498_IFN2","43_1498_7_IFN2",25,248,244,24.6,7.5,14.1471060526129,475.2915525616
"155181","IFN3","8_1475_IFN3","IFN3_8_1475_A_1_1_IFN3",25,243,243,24.3,7.5,14.1471060526129,463.769761504559
"155182","IFN3","8_1475_IFN3","IFN3_8_1475_A_1_2_IFN3",25,170,180,17.5,6.7,31.8309886183791,240.528187540469
"155183","IFN3","8_1475_IFN3","IFN3_8_1475_A_1_3_IFN3",25,253,258,25.55,7.6,14.1471060526129,512.709884561263
"155184","IFN3","8_1475_IFN3","IFN3_8_1475_A_1_4_IFN3",25,170,182,17.6,7.3,31.8309886183791,243.284935093994
"155185","IFN3","8_1475_IFN3","IFN3_8_1475_A_1_5_IFN3",25,143,139,14.1,6.7,31.8309886183791,156.145008865047
"155186","IFN3","8_1475_IFN3","IFN3_8_1475_A_1_6_IFN3",25,130,136,13.3,6.1,31.8309886183791,138.929081123375
"155187","IFN3","8_1475_IFN3","IFN3_8_1475_A_1_7_IFN3",25,232,234,23.3,6.9,14.1471060526129,426.384808926841
"155188","IFN3","8_1475_IFN3","IFN3_8_1475_A_1_8_IFN3",25,210,194,20.2,6.8,31.8309886183791,320.473866592695
"155189","IFN3","8_1475_IFN3","IFN3_8_1475_A_1_9_IFN3",25,190,190,19,7,31.8309886183791,283.528736986479
"155190","IFN3","8_1475_IFN3","IFN3_8_1475_A_1_10_IFN3",25,246,262,25.4,7.2,14.1471060526129,506.707479097498
"155191","IFN3","8_1475_IFN3","IFN3_8_1475_A_1_11_IFN3",25,164,168,16.6,6.7,31.8309886183791,216.424317905801
"155192","IFN3","8_1475_IFN3","IFN3_8_1475_A_1_12_IFN3",25,143,147,14.5,6.2,31.8309886183791,165.129963854314
"155193","IFN3","8_1475_IFN3","IFN3_8_1475_A_1_13_IFN3",25,124,127,12.55,5.1,31.8309886183791,123.702174230507
